val_loss,epoch,step,train_loss,test_loss
128451.21875,0,102,,
,0,102,150653.34375,
17798.75390625,1,205,,
,1,205,62973.05859375,
16974.56640625,2,308,,
,2,308,17523.5234375,
17246.1640625,3,411,,
,3,411,17068.724609375,
16381.2578125,4,514,,
,4,514,16691.568359375,
16329.5908203125,5,617,,
,5,617,16273.9541015625,
15691.1591796875,6,720,,
,6,720,15895.9189453125,
15762.568359375,7,823,,
,7,823,15580.796875,
15284.951171875,8,926,,
,8,926,15219.4150390625,
14404.802734375,9,1029,,
,9,1029,14897.1181640625,
14292.03515625,10,1132,,
,10,1132,14570.240234375,
13562.7998046875,11,1235,,
,11,1235,14237.3740234375,
13134.826171875,12,1338,,
,12,1338,13869.60546875,
12762.359375,13,1441,,
,13,1441,13527.9521484375,
12788.2880859375,14,1544,,
,14,1544,13181.2861328125,
12361.88671875,15,1647,,
,15,1647,12845.3955078125,
11773.6396484375,16,1750,,
,16,1750,12577.1513671875,
11722.5908203125,17,1853,,
,17,1853,12177.30078125,
11653.5771484375,18,1956,,
,18,1956,11854.916015625,
11026.990234375,19,2059,,
,19,2059,11521.7685546875,
10713.5771484375,20,2162,,
,20,2162,11144.5537109375,
10565.1435546875,21,2265,,
,21,2265,10837.986328125,
10289.9228515625,22,2368,,
,22,2368,10531.4345703125,
10096.1142578125,23,2471,,
,23,2471,10278.9501953125,
9976.96484375,24,2574,,
,24,2574,10021.4599609375,
9746.9443359375,25,2677,,
,25,2677,9808.9072265625,
9598.4072265625,26,2780,,
,26,2780,9570.861328125,
9451.00390625,27,2883,,
,27,2883,9360.0888671875,
9303.443359375,28,2986,,
,28,2986,9165.2470703125,
9211.087890625,29,3089,,
,29,3089,8996.662109375,
9175.0458984375,30,3192,,
,30,3192,8868.369140625,
8863.4052734375,31,3295,,
,31,3295,8692.6484375,
8718.759765625,32,3398,,
,32,3398,8505.826171875,
8573.57421875,33,3501,,
,33,3501,8298.78515625,
8427.1494140625,34,3604,,
,34,3604,8161.58740234375,
8458.7490234375,35,3707,,
,35,3707,7997.4638671875,
8114.27099609375,36,3810,,
,36,3810,7834.86865234375,
8005.1279296875,37,3913,,
,37,3913,7640.3896484375,
7818.18212890625,38,4016,,
,38,4016,7482.53955078125,
7730.99609375,39,4119,,
,39,4119,7361.45703125,
7503.86767578125,40,4222,,
,40,4222,7216.39013671875,
7456.39453125,41,4325,,
,41,4325,6983.8466796875,
7183.9423828125,42,4428,,
,42,4428,6827.51708984375,
7138.9052734375,43,4531,,
,43,4531,6651.0869140625,
7117.8515625,44,4634,,
,44,4634,6492.74853515625,
6751.01318359375,45,4737,,
,45,4737,6310.15087890625,
6718.4755859375,46,4840,,
,46,4840,6183.1318359375,
6602.65185546875,47,4943,,
,47,4943,5940.39794921875,
6284.4658203125,48,5046,,
,48,5046,5858.267578125,
6130.32177734375,49,5149,,
,49,5149,5685.7939453125,
5956.224609375,50,5252,,
,50,5252,5524.10595703125,
5787.1923828125,51,5355,,
,51,5355,5306.173828125,
5744.61865234375,52,5458,,
,52,5458,5179.7646484375,
5595.81689453125,53,5561,,
,53,5561,5057.13671875,
5589.9130859375,54,5664,,
,54,5664,4887.39453125,
5210.5361328125,55,5767,,
,55,5767,4813.400390625,
5247.59814453125,56,5870,,
,56,5870,4718.37744140625,
5000.607421875,57,5973,,
,57,5973,4599.18896484375,
4864.689453125,58,6076,,
,58,6076,4436.94580078125,
4851.759765625,59,6179,,
,59,6179,4439.6533203125,
4662.45361328125,60,6282,,
,60,6282,4247.4912109375,
4686.23095703125,61,6385,,
,61,6385,4197.11669921875,
4576.72998046875,62,6488,,
,62,6488,4110.64599609375,
4536.0029296875,63,6591,,
,63,6591,4079.800048828125,
4413.92138671875,64,6694,,
,64,6694,4003.0498046875,
4405.55810546875,65,6797,,
,65,6797,3930.9873046875,
4298.37353515625,66,6900,,
,66,6900,3909.648681640625,
4252.07177734375,67,7003,,
,67,7003,3910.04296875,
4243.681640625,68,7106,,
,68,7106,3869.910888671875,
4248.7275390625,69,7209,,
,69,7209,3888.19677734375,
4291.287109375,70,7312,,
,70,7312,3794.96533203125,
4188.00390625,71,7415,,
,71,7415,3774.8779296875,
4175.7255859375,72,7518,,
,72,7518,3752.497314453125,
4136.216796875,73,7621,,
,73,7621,3704.2333984375,
4701.92724609375,74,7724,,
,74,7724,3790.279052734375,
4117.43603515625,75,7827,,
,75,7827,3775.291259765625,
4103.486328125,76,7930,,
,76,7930,3658.153564453125,
4244.0234375,77,8033,,
,77,8033,3708.509033203125,
4088.10205078125,78,8136,,
,78,8136,3685.030517578125,
4178.32958984375,79,8239,,
,79,8239,3659.826904296875,
4159.3583984375,80,8342,,
,80,8342,3658.648193359375,
4667.75,81,8445,,
,81,8445,3687.681396484375,
4131.00732421875,82,8548,,
,82,8548,3640.65283203125,
4190.42041015625,83,8651,,
,83,8651,3654.543701171875,
4080.914306640625,84,8754,,
,84,8754,3646.0361328125,
4368.12451171875,85,8857,,
,85,8857,3635.15869140625,
4083.184326171875,86,8960,,
,86,8960,3692.486572265625,
4096.76416015625,87,9063,,
,87,9063,3639.407958984375,
4161.248046875,88,9166,,
,88,9166,3636.5458984375,
4099.890625,89,9269,,
,89,9269,3636.111328125,
4109.35498046875,90,9372,,
,90,9372,3620.447265625,
4222.61328125,91,9475,,
,91,9475,3591.104248046875,
4083.549560546875,92,9578,,
,92,9578,3678.77392578125,
4176.6337890625,93,9681,,
,93,9681,3614.063232421875,
4073.14892578125,94,9784,,
,94,9784,3572.725830078125,
4084.3310546875,95,9887,,
,95,9887,3643.6318359375,
4119.8173828125,96,9990,,
,96,9990,3662.751708984375,
4227.3984375,97,10093,,
,97,10093,3595.27587890625,
4433.4072265625,98,10196,,
,98,10196,3597.105224609375,
4066.183837890625,99,10299,,
,99,10299,3619.878662109375,
4069.98193359375,100,10402,,
,100,10402,3630.7666015625,
4127.19384765625,101,10505,,
,101,10505,3617.457275390625,
4299.5927734375,102,10608,,
,102,10608,3602.25341796875,
4085.25830078125,103,10711,,
,103,10711,3603.118408203125,
4116.908203125,104,10814,,
,104,10814,3678.805908203125,
4100.85009765625,105,10917,,
,105,10917,3576.228271484375,
4234.54931640625,106,11020,,
,106,11020,3610.97802734375,
4163.5556640625,107,11123,,
,107,11123,3642.560302734375,
4091.1640625,108,11226,,
,108,11226,3623.787353515625,
4057.1953125,109,11329,,
,109,11329,3595.302734375,
4438.15673828125,110,11432,,
,110,11432,3609.70751953125,
4130.603515625,111,11535,,
,111,11535,3589.113525390625,
4183.58203125,112,11638,,
,112,11638,3586.48095703125,
4102.73876953125,113,11741,,
,113,11741,3577.0595703125,
4124.611328125,114,11844,,
,114,11844,3626.11767578125,
4258.65478515625,115,11947,,
,115,11947,3596.837890625,
4096.091796875,116,12050,,
,116,12050,3588.5537109375,
4100.7265625,117,12153,,
,117,12153,3633.86865234375,
4089.80712890625,118,12256,,
,118,12256,3606.69482421875,
4305.14990234375,119,12359,,
,119,12359,3635.36669921875,
4138.07861328125,120,12462,,
,120,12462,3606.87255859375,
4094.6708984375,121,12565,,
,121,12565,3685.374267578125,
4242.60791015625,122,12668,,
,122,12668,3610.00634765625,
4070.1796875,123,12771,,
,123,12771,3589.600341796875,
4060.051025390625,124,12874,,
,124,12874,3655.504150390625,
,125,12875,,3910.083984375
