NATIONALITE_CODEPAYS;NATIONALITE_ISO3;NATIONALITE_NOM
A;AUT;autrichienne
AFG;AFG;afghane
AL;ALB;albanaise
AND;AND;andorrane
ANG;AGO;angolaise
APA;XXA;sans
ARM;ARM;arménienne
AUS;AUS;australienne
AZE;AZE;azerbaïdjanaise
B;BEL;belge
BD;BGD;bangladaise
BDS;BRB;barbadienne
BFA;BFA;Burkina Faso
BG;BGR;bulgare
BHO;BTN;bhoutanaise
BIH;BIH;Bosnie-Herzégovine
BLR;BLR;biélorusse
BOL;BOL;bolivienne
BR;BRA;brésilienne
BS;BHS;bahamienne
C;CUB;cubaine
CDN;CAN;canadienne
CH;CHE;suisse
CI;CIV;ivoirienne
CL;LKA;sri-lankaise
CN;KNA;Saint-Kitts-et-Nevis
CO;COL;colombienne
COD;COD;congolaise (COD)
COG;COG;congolaise (COG)
COM;COM;comorienne
CR;CRI;costa-ricienne
CS;CSK;*** tchécoslovaque ***
CV;CPV;cap-verdienne
CY;CYP;cypriote
CZ;CZE;tchèque
D;DEU;allemande
DJI;DJI;djiboutien
DK;DNK;danoise
DOM;DOM;dominicaine
DY;BEN;béninoise
DZ;DZA;algérienne
E;ESP;espagnole
EAK;KEN;kényenne
EAT;TZA;tanzanienne
EAU;UGA;ougandaise
EC;ECU;équatorienne
ERY;ERI;Erythrée
EST;EST;estonienne
ET;EGY;égyptienne
ETH;ETH;éthiopienne
F;FRA;française
FIN;FIN;finlandaise
FL;LIE;liechtensteinoise
GAB;GAB;gabonaise
GB;GBR;britannique
GBX;GBX;britannique d'outre-mer
GCA;GTM;guatémaltèque
GEO;GEO;géorgienne
GH;GHA;ghanéenne
GR;GRC;grecque
GU;GIN;guinéenne
GUB;GNB;Guinée-Bissau
GUE;GNQ;équato-guinéenne
H;HUN;hongroise
HKJ;JOR;jordanienne
HON;HND;hondurienne
HRV;HRV;croate
I;ITA;italienne
IL;ISR;israélienne
IND;IND;indienne
IR;IRN;iranienne
IRL;IRL;irlandaise
IRQ;IRQ;iraqienne
IS;ISL;islandaise
J;JPN;japonaise
JA;JAM;jamaiquaine
K;KHM;cambodgien
KAZ;KAZ;kazakhe
KGZ;KGZ;kirghize
KOR;KOR;sud-coréenne
L;LUX;luxembourgeoise
LAO;LAO;lao
LB;LBR;libérienne
LTU;LTU;lituanienne
LVA;LVA;lettonne
LY;LBY;libyenne
M;MLT;maltaise
MA;MAR;marocaine
MAL;MYS;malaisienne
MC;MCO;monégasque
MEX;MEX;mexicaine
MK;MKD;macédonienne
MMR;MMR;Myanmar
MNE;MNE;monténégrine
MOL;MDA;moldave
MON;MNG;mongole
MS;MUS;mauricienne
MW;MWI;malawienne
N;NOR;norvégienne
NEP;NPL;népalaise
NIC;NIC;nicaraguayenne
NIG;NER;nigérienne
NL;NLD;néerlandaise
NTZ;;?
NZ;NZL;néo-zélandaise
P;PRT;portugaise
PA;PAN;panaméenne
PAK;PAK;pakistanaise
PE;PER;péruvienne
PHL;PHL;philippine
PL;POL;polonaise
PY;PRY;paraguayenne
Q;QAT;qatarienne
R;ROU;roumaine
RA;ARG;argentine
RB;BWA;botswanaise
RC;TWN;chinoise (Taiwan)
RCA;CAF;centrafricaine
RCH;CHL;chilienne
RH;HTI;haitienne
RI;IDN;indonésienne
RL;LBN;libanaise
RM;MDG;malgache
RMM;MLI;malienne
RSM;SMR;san-marinaise
RSR;ZWE;zimbabwéenne
RU;BDI;burundais
RUS;RUS;russe
RWA;RWA;rwandaise
S;SWE;suédoise
SAL;SLV;salvadorienne
SCG;SCG;Serbe-et-Monténégrine
SGP;SGP;singapourienne
SK;SVK;slovaque
SN;SEN;sénégalaise
SP;SOM;somalienne
SRB;SRB;serbe
STP;STP;Sao Tomé-et-Principe
SU;SUN;*** (U.R.S.S.) ***
SUD;SDN;soudanaise
SVN;SVN;slovène
SWA;NAM;namibienne
SYR;SYR;syrienne
T;THA;thailandaise
TC;CMR;camerounaise
TG;TGO;togolaise
TJ;CHN;chinoise
TJK;TJK;tadjik
TKM;TKM;turkmène
TN;TUN;tunisienne
TR;TUR;turque
TT;TTO;Trinité-et-Tobago
U;URY;uruguayenne
UKR;UKR;ukrainienne
USA;USA;américaine
UZB;UZB;ouzbek
VN;VNM;vietnamienne
WAG;GMB;gambienne
WAL;SLE;sierra-léonienne
WAN;NGA;nigériane
WD;DMA;dominiquaise
WG;GRD;grenadine
WL;LCA;saint-luciens
WS;WSM;samoane
XXK;XXK;kosovare
XXP;XXP;palestinienne
XXX;XXX;indéterminée
YMN;YEM;yéménite
YU;YUG;***yougoslave***
YV;VEN;vénézuélienne
ZA;ZAF;sud-africaine
